2		38534
2		76958
2		32199
-21		74643795710346526_A0
-22		41126717040907303
-22		43752200484183179
-22		41570623385796594
-31		72174
-21		42728121367007755_A0
-21		40589605610719220_A0
-21		41645819673209384_A0
4		35178
-21		42085181942663150_A0
4		77127
4		79466
4		27801
4		48545
2		53619
4		12599
0		88294_B2
-31		9652
4		41297
-31		53015
-21		41558133620871938_A0
-21		43110764298388082_A1
-31		49308
4		10392
-31		48252
-21		42093857776620977_A0
2		28639
2		72578
4		84055
-31		28791
-21		44794820975135995_A0
-31		64359
-31		82653
-31		22056
4		83285
-21		42665874405989210_A0
0		22144_A3
2		85958
4		86463
4		39259
2		51200
4		42382
0		8114_B2
-21		37498320079299132_A0
-21		44279815741645690_A0
-31		14849
-31		71201
2		20843
4		28628
2		80062
0		15243_A1
0		91297_B1
-21		43255066609583175_A0
-21		41715887769671828_A1
-22		43769496317496716
2		62662
-31		10064
-22		41602105496073808
-22		43721676151614544
-31		66220
4		6091
4		50042
2		87030
-31		25326
-21		41236934491639004_A0
4		31427
-21		70399972884873708_A0
2		42715
2		65192
2		39409
2		56459
-21		40673434782418495_A0
2		63446
-21		41698858224345683_A0
-21		44759073962348915_A0
-31		67265
2		51919
4		25483
2		42709
-21		45841942591833078_A0
-22		41241594531177978
2		89296
0		89529_B1
-31		72647
4		84405
4		6204
0		22586_A3
-22		45828074142458559
-31		3333
-22		42309379235533166
-21		71187747196386409_A0
4		33003
4		7378
0		11171_A1
-22		42059090016370608
2		86944
2		32623
4		6481
-22		41003709177554198
4		26612
0		15134_A0
4		17891
-21		39618577929626031_A0
-31		13737
0		84432_A1
4		53017
2		68483
-21		42644025907355403_A0
4		10395
-22		43765789760716564
-31		44903
-21		45309512676033948_A0
-21		44161613946689843_A1
4		77877
2		16841
-21		37498028021534790_A0
2		56919
2		3644
-21		41056335411829670_A2
-22		41007823756219412
4		22257
-21		38540515368501996_A0
4		56369
-21		70364638188960222_A0
4		86017
-22		43722097058412204
0		19491_B2
4		13989
2		33635
4		66363
0		65940_B3
-31		22652
4		64434
2		88664
-22		42177545214401242
4		77074
4		84239
2		44439
2		16595
2		73484
2		81051
4		86255
-21		41105109060445469_A1
-21		43383164009206005_A0
2		1554
2		36862
2		75254
2		4678
2		28179
2		29178
0		49984_B3
4		76037
-22		43769500612450946
2		72110
4		54447
2		190
2		88292
2		42838
-31		47923
2		62494
2		38548
4		9788
4		70149
4		4860
-31		15634
4		38814
-31		62956
2		78348
-31		863
4		66903
2		66212
-31		51427
0		100112_A3
-22		42270595680861052
4		89181
-21		44795065788273709_A0
-21		70360798488190541_A0
-31		31112
0		96033_B0
2		49
-31		73851
2		65442
4		76154
-31		33572
-22		42709854871121837
-21		38536117322016303_A0
-22		41231965214513701
2		34256
-21		44794378593501483_A0
-22		42713827715874708
4		79364
4		65713
-22		40972355916298908
-31		78666
4		41240
-22		42089309406259585
-31		52505
4		54747
4		70833
2		84808
2		74675
2		45545
2		33134
-22		42314434412044747
2		53680
2		72188
4		21039
-31		28285
4		1905
2		85502
-22		43708636630904217
4		58406
2		41680
-21		45859418813763804_A0
4		65530
-22		42098947312876057
2		10765
2		80226
-31		83869
-22		42173147167880522
-21		40106778272207966_A0
-21		42247909663579352_A0
2		25532
4		61645
-21		41702689335165885_A0
4		84571
4		26145
4		71256
-31		40629
0		9067_A1
-31		1902
-21		40625880904517022_A0
-21		41760297731508846_A0
2		45725
4		47000
4		41569
-21		44240800258745529_A1
-31		61180
-22		41210254154828360
2		16444
4		80601
2		71861
2		4401
4		5313
-21		42767720965496874_A0
-21		43188975652857514_A0
4		52853
4		76957
-22		43699960796970639
2		75741
-31		74147
-21		42221555744245323_A2
-31		6100
-31		72909
-31		25626
2		37371
-31		69955
-22		42631226904839732
-21		43360499466771182_A0
-21		38545175408021260_B3
0		6093_A2
-31		77496
2		15452
4		6934
4		77908
-21		41016740108309007_A0
-31		32064
-21		43743391506236659_A0
-31		86682
-22		42696265594599371
2		48261
-31		15501
4		22974
-21		45832326160079671_A0
-22		42309898926582998
0		10099_B2
4		41248
2		4746
-21		41667255854957847_A0
2		74112
4		16727
0		4786_A2
-31		36269
2		67452
-31		9885
0		23200_B2
-31		4822
2		10770
-22		42270200543868233
4		51184
0		19816_B3
2		46890
4		79787
-22		41232527855215998
-21		40652140334559602_A0
-31		35425
0		15109_B0
-21		36433842499749751_A0
4		45163
4		63815
0		18281_A3
-21		43752466772157386_A0
-22		41562102170682742
4		3901
2		43215
-31		78658
-22		42261112393072112
4		88015
-21		40625056270784466_A0
-21		41601955172191372_A1
2		76404
-31		4282
2		63042
4		44209
-31		39478
2		36266
-31		71187
-21		45251792610542415_A0
-22		42288063312865462
2		2910
0		95522_B3
-31		61123
-31		60093
2		7390
-21		42718500640266602_A0
4		8463
0		87795_A1
0		15489_A1
-21		41236092678050559_A0
-22		41623554562748975
0		14042_A2
-31		33518
4		86351
2		85984
2		19773
2		28135
2		15045
4		49615
0		99431_B1
4		43857
-21		43690198336302612_A2
-21		42314430117055713_A0
2		45164
-22		41210533327693892
4		66472
2		34655
0		13567_B0
-22		42072687882819623
-21		70373434281974117_A0
2		44086
4		10551
2		68834
4		75813
-21		41606357513672218_A0
-21		42824740951315810_A0
0		95767_A3
-31		41747
2		32855
-21		42278717464021190_A0
-21		41671641016567656_A0
0		4255_A2
-21		37498869835127342_A0
4		46870
2		84734
-22		40985966667658328
-31		25924
-22		41245855138736581
-22		40973047406031840
-31		4373
2		31719
2		64126
4		31288
-31		59999
-31		24331
4		15477
-31		89501
-31		29899
2		50446
2		61332
4		79814
2		10359
-22		43770192102192535
4		33475
-31		25248
2		20220
-21		40981701765107126_A1
-22		43717574457851949
-31		22699
2		32260
-21		37489111669414825_A0
-31		56265
-31		62248
2		11458
2		84396
2		54360
4		57780
4		45402
-22		44776533004414137
0		14191_A2
-31		30184
-31		40270
-31		49806
4		80277
-21		43725936759176690_A0
4		20268
2		38186
-21		42652688856391979_A0
-22		44191743142285052
-22		41209717283912673
4		80693
2		87737
-31		52722
-31		26529
4		4307
0		17564_B2
4		42510
2		62773
-22		42639499011852914
2		48506
2		62768
4		14702
4		18841
4		30408
2		9246
-31		12662
-31		34289
-22		42081071658985187
-31		26635
2		15256
4		67525
2		3306
4		72317
4		18112
2		12902
2		74148
4		83419
-21		40637958352538698_A0
2		30073
2		44842
-31		76712
-21		69625504382065585_A0
4		85503
2		48678
2		989
4		26777
2		74752
2		14193
2		82886
0		10188_A3
-21		42225674617886876_A0
-21		39944037666394667_A0
-31		26251
-31		5317
2		79557
-22		44183754503124258
-31		18745
2		53565
2		36207
-22		43729806524682344
-22		45845524594584519
-21		41148844712399213_A0
2		79317
-21		37467258875808866_A0
-31		39443
2		39532
0		6411_A3
4		58676
-21		40638654137238526_A0
-22		40998752785290874
-22		42283927259346129
2		78788
-31		71385
4		16036
-31		14100
2		49754
-31		6910
-21		41179489304056463_B0
-22		42709996605045228
-31		51386
-21		44175091554063919_A0
-21		41558000476896575_A0
4		14805
4		43397
-22		43374372211148827
2		50812
-21		43708340278155482_A0
2		14328
2		51415
4		59738
-31		955
4		64506
-31		66935
-21		69577112985553495_A0
0		3446_B2
2		14448
4		82767
0		5234_A1
-22		42168624567317562
2		41933
-21		43712188568836427_A1
2		57882
4		30492
-31		3287
4		18851
0		95522_B1
4		86795
2		78240
-21		40594265650237706_A0
2		61726
2		55993
-21		69626054137897122_A0
-21		43716745529138216_A0
2		81686
2		10212
2		60694
0		6122_B3
-21		41193082875571180_A0
-21		42771010910442743_A0
4		53067
0		84342_B3
-22		41214244179443672
-21		41698321353415180_A0
-21		37489115964402785_A0
2		13945
2		19711
2		79901
-31		89235
-31		63670
2		25998
-22		41016606964348086
4		42192
